MoveEvent(x=705, y=522, time=1633506160.0476635)
MoveEvent(x=707, y=522, time=1633506160.0534596)
MoveEvent(x=707, y=523, time=1633506160.0550642)
MoveEvent(x=707, y=523, time=1633506160.0574222)
MoveEvent(x=708, y=523, time=1633506160.0594215)
MoveEvent(x=708, y=523, time=1633506160.0614085)
MoveEvent(x=708, y=523, time=1633506160.0634084)
MoveEvent(x=709, y=523, time=1633506160.065411)
MoveEvent(x=709, y=524, time=1633506160.06741)
MoveEvent(x=710, y=524, time=1633506160.0694113)
MoveEvent(x=711, y=524, time=1633506160.0714216)
MoveEvent(x=711, y=524, time=1633506160.0734217)
MoveEvent(x=712, y=525, time=1633506160.0754218)
MoveEvent(x=712, y=526, time=1633506160.0789614)
MoveEvent(x=713, y=526, time=1633506160.080965)
MoveEvent(x=713, y=526, time=1633506160.0829642)
MoveEvent(x=714, y=526, time=1633506160.085422)
MoveEvent(x=714, y=527, time=1633506160.087422)
MoveEvent(x=715, y=527, time=1633506160.0894241)
MoveEvent(x=716, y=527, time=1633506160.0914078)
MoveEvent(x=716, y=527, time=1633506160.093408)
MoveEvent(x=717, y=528, time=1633506160.0954082)
MoveEvent(x=717, y=528, time=1633506160.096952)
MoveEvent(x=718, y=528, time=1633506160.0989573)
MoveEvent(x=718, y=529, time=1633506160.1014082)
MoveEvent(x=719, y=529, time=1633506160.105408)
MoveEvent(x=720, y=530, time=1633506160.1074111)
MoveEvent(x=720, y=530, time=1633506160.111389)
MoveEvent(x=721, y=530, time=1633506160.1134434)
MoveEvent(x=721, y=531, time=1633506160.1154263)
MoveEvent(x=721, y=531, time=1633506160.117425)
MoveEvent(x=722, y=531, time=1633506160.1214216)
MoveEvent(x=722, y=531, time=1633506160.1254218)
MoveEvent(x=722, y=532, time=1633506160.1273837)
MoveEvent(x=723, y=532, time=1633506160.1293824)
MoveEvent(x=724, y=532, time=1633506160.1333997)
MoveEvent(x=724, y=532, time=1633506160.1354213)
MoveEvent(x=724, y=533, time=1633506160.1374214)
MoveEvent(x=725, y=533, time=1633506160.1394246)
MoveEvent(x=725, y=534, time=1633506160.1435182)
MoveEvent(x=726, y=534, time=1633506160.1473835)
MoveEvent(x=726, y=534, time=1633506160.149394)
MoveEvent(x=727, y=535, time=1633506160.153562)
MoveEvent(x=728, y=535, time=1633506160.15539)
MoveEvent(x=728, y=535, time=1633506160.1571786)
MoveEvent(x=728, y=536, time=1633506160.1594212)
MoveEvent(x=729, y=536, time=1633506160.160795)
MoveEvent(x=729, y=536, time=1633506160.1634212)
MoveEvent(x=729, y=536, time=1633506160.1649854)
MoveEvent(x=730, y=537, time=1633506160.166982)
MoveEvent(x=730, y=537, time=1633506160.1689796)
MoveEvent(x=730, y=538, time=1633506160.1714447)
MoveEvent(x=731, y=538, time=1633506160.1727908)
MoveEvent(x=731, y=538, time=1633506160.1754208)
MoveEvent(x=732, y=538, time=1633506160.177421)
MoveEvent(x=732, y=539, time=1633506160.1794236)
MoveEvent(x=732, y=539, time=1633506160.1814227)
MoveEvent(x=733, y=539, time=1633506160.1874583)
MoveEvent(x=733, y=540, time=1633506160.2014594)
MoveEvent(x=733, y=540, time=1633506160.2136767)
MoveEvent(x=734, y=540, time=1633506160.216686)
MoveEvent(x=734, y=541, time=1633506160.221459)
MoveEvent(x=734, y=542, time=1633506160.2274446)
MoveEvent(x=734, y=542, time=1633506160.2292876)
MoveEvent(x=734, y=542, time=1633506160.2334204)
MoveEvent(x=735, y=542, time=1633506160.2374306)
MoveEvent(x=735, y=543, time=1633506160.2394314)
MoveEvent(x=736, y=543, time=1633506160.245445)
MoveEvent(x=736, y=544, time=1633506160.2495291)
MoveEvent(x=736, y=544, time=1633506160.2534204)
MoveEvent(x=737, y=544, time=1633506160.2574294)
MoveEvent(x=737, y=545, time=1633506160.2675762)
MoveEvent(x=737, y=545, time=1633506160.2734466)
MoveEvent(x=738, y=545, time=1633506160.2854464)
MoveEvent(x=738, y=546, time=1633506160.3054569)
MoveEvent(x=738, y=546, time=1633506160.3150666)
MoveEvent(x=739, y=546, time=1633506160.341422)
MoveEvent(x=739, y=547, time=1633506160.3454587)
MoveEvent(x=740, y=547, time=1633506160.3514519)
MoveEvent(x=740, y=547, time=1633506160.3614576)
MoveEvent(x=740, y=547, time=1633506160.3654597)
MoveEvent(x=741, y=547, time=1633506160.3714428)
MoveEvent(x=741, y=547, time=1633506160.3874428)
MoveEvent(x=741, y=548, time=1633506160.3954566)
MoveEvent(x=742, y=548, time=1633506160.4174714)
ButtonEvent(event_type='down', button='left', time=1633506160.617441)
ButtonEvent(event_type='up', button='left', time=1633506160.673425)
